division,pyramid,middle_school,ethnicity,pop_num,pop_percentage,source
FCPS,Chantilly,Rocky Run,Asian,400,42.37,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:251,0"
FCPS,Chantilly,Rocky Run,Black (Not Of Hispanic Origin),63,6.67,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:251,1"
FCPS,Chantilly,Rocky Run,Hispanic Or Latino,128,13.56,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:251,2"
FCPS,Chantilly,Rocky Run,White (Not Of Hispanic Origin),294,31.14,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:251,3"
FCPS,Chantilly,Rocky Run,Other,59,6.25,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:251,4"
FCPS,Chantilly,Franklin,Asian,242,29.09,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:331,0"
FCPS,Chantilly,Franklin,Black (Not Of Hispanic Origin),56,6.73,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:331,1"
FCPS,Chantilly,Franklin,Hispanic Or Latino,122,14.66,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:331,2"
FCPS,Chantilly,Franklin,White (Not Of Hispanic Origin),362,43.51,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:331,3"
FCPS,Chantilly,Franklin,Other,50,6.01,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:331,4"
FCPS,Fairfax,Katherine Johnson,Asian,268,25.07,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,0"
FCPS,Fairfax,Katherine Johnson,Black (Not Of Hispanic Origin),111,10.38,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,1"
FCPS,Fairfax,Katherine Johnson,Hispanic Or Latino,245,22.92,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,2"
FCPS,Fairfax,Katherine Johnson,White (Not Of Hispanic Origin),380,35.55,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,3"
FCPS,Fairfax,Katherine Johnson,Other,65,6.08,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,4"
